time_days,time_date,ttt_mu,ttt_sigma
19355.0,2022-12-29,-0.396387729189294,0.27208629514953786
19388.0,2023-01-31,-0.3831749089882627,0.24598218606560965
19418.0,2023-03-02,-0.36593877609890085,0.2320520292952992
19447.0,2023-03-31,-0.3250403582919054,0.22523691157640047
19479.0,2023-05-02,-0.2840820245201948,0.2199096346372883
19509.0,2023-06-01,-0.24654713993404725,0.217334030379006
19541.0,2023-07-03,-0.20423170213976885,0.2167559636169513
19571.0,2023-08-02,-0.15846639402380974,0.2181492655898868
19600.0,2023-08-31,-0.12116289879952709,0.22214799366318008
19632.0,2023-10-02,-0.12207159478066823,0.2308876377689562
19661.0,2023-10-31,-0.14326956625672357,0.2462562301165384
19691.0,2023-11-30,-0.1692101730235244,0.2742100491068647
