time_days,time_date,ttt_mu,ttt_sigma
19355.0,2022-12-29,-0.06693974543704713,0.28608836319266123
19388.0,2023-01-31,-0.12512582449213597,0.25978618774330503
19418.0,2023-03-02,-0.337845006782158,0.24586112024788387
19447.0,2023-03-31,-0.41780591362229896,0.23823168893625923
19479.0,2023-05-02,-0.37402510655064564,0.2334546843970646
19509.0,2023-06-01,-0.2393866253340019,0.2309966765222466
19541.0,2023-07-03,-0.2009910686677864,0.23071551508189012
19571.0,2023-08-02,-0.26039961534426687,0.23263828889629845
19600.0,2023-08-31,-0.21886557510029,0.23775802648068634
19632.0,2023-10-02,-0.3511727430672401,0.24975129380855313
19661.0,2023-10-31,-0.3468340611441696,0.26684176252987707
19691.0,2023-11-30,-0.2464674285494713,0.2946992201854951
