time_days,time_date,ttt_mu,ttt_sigma
19355.0,2022-12-29,-0.40084439718486536,0.28480086879182087
19388.0,2023-01-31,-0.2750878273016226,0.2579918312026591
19418.0,2023-03-02,-0.300343549101002,0.24378969366752626
19447.0,2023-03-31,-0.4948071942422287,0.23783715230601607
19479.0,2023-05-02,-0.6560742497359705,0.23445803189719625
19509.0,2023-06-01,-0.7019454763540277,0.2323377742980245
19541.0,2023-07-03,-0.6424277106280305,0.23035507499301647
19571.0,2023-08-02,-0.48072312589885485,0.2286054809910604
19600.0,2023-08-31,-0.5099166598137473,0.23172925982241835
19632.0,2023-10-02,-0.418975575086659,0.2367529917925829
19661.0,2023-10-31,-0.3893381186691703,0.2504335025036863
19691.0,2023-11-30,-0.39047101348644,0.2775698146484272
