time_days,time_date,ttt_mu,ttt_sigma
19355.0,2022-12-29,-0.4955228260991527,0.27333030926319085
19388.0,2023-01-31,-0.49671574233426663,0.24748893232217997
19418.0,2023-03-02,-0.5045781963787178,0.23398425670475018
19447.0,2023-03-31,-0.5020135706540223,0.22783803753109186
19479.0,2023-05-02,-0.41037965476272054,0.22143403868242972
19509.0,2023-06-01,-0.33855692404086263,0.21824900226821328
19541.0,2023-07-03,-0.2701779292606083,0.21728068479567805
19571.0,2023-08-02,-0.20707611380064697,0.21844726210779886
19600.0,2023-08-31,-0.15796517345947506,0.2223132797153438
19632.0,2023-10-02,-0.1500835264124887,0.23099200366311787
19661.0,2023-10-31,-0.16635820712675625,0.24634313250882697
19691.0,2023-11-30,-0.18991037209533543,0.2742954450686153
