time_days,time_date,ttt_mu,ttt_sigma
19355.0,2022-12-29,-0.04728660382504195,0.27372367997456
19388.0,2023-01-31,0.01684823669614678,0.24904055159625202
19418.0,2023-03-02,-0.004144577615888293,0.2340180225681427
19447.0,2023-03-31,0.037062228392145895,0.2272463401822172
19479.0,2023-05-02,-0.07281480092874723,0.22169548083697174
19509.0,2023-06-01,-0.15448883427257362,0.21963895980729256
19541.0,2023-07-03,-0.2288056709500612,0.22052367304408835
19571.0,2023-08-02,-0.29508648517297137,0.22454122817232366
19600.0,2023-08-31,-0.23039629829202304,0.22942632781048267
19632.0,2023-10-02,-0.1216380862530627,0.23811714670460632
19661.0,2023-10-31,-0.1428576040436757,0.2511712181836462
19691.0,2023-11-30,-0.16879452852519258,0.27789806887728513
