time_days,time_date,ttt_mu,ttt_sigma
19355.0,2022-12-29,0.583940812910437,0.2912428977808759
19388.0,2023-01-31,0.5638808387123696,0.2646800579319779
19418.0,2023-03-02,0.5471740303818711,0.2497488028154171
19447.0,2023-03-31,0.46431014279835425,0.24098246960732567
19479.0,2023-05-02,0.3636091390123459,0.2347367308913744
19509.0,2023-06-01,0.15073158570382728,0.23092221483474576
19541.0,2023-07-03,0.07081836518498365,0.2303072111850021
19571.0,2023-08-02,0.12674614437911055,0.2326300366582793
19600.0,2023-08-31,0.11565210480949328,0.23814069184743397
19632.0,2023-10-02,-0.0067716063571035216,0.24934548381496643
19661.0,2023-10-31,-0.260519985927123,0.26678968080403265
19691.0,2023-11-30,-0.3860305687133844,0.2953920456146429
