time_days,time_date,ttt_mu,ttt_sigma
19355.0,2022-12-29,-0.39621370904877096,0.2720863818276677
19388.0,2023-01-31,-0.3830372409379259,0.24598205081010188
19418.0,2023-03-02,-0.3658173843258967,0.2320518194362917
19447.0,2023-03-31,-0.32492501240654054,0.2252367364304909
19479.0,2023-05-02,-0.2839693747428956,0.21990952913104347
19509.0,2023-06-01,-0.24643383978325828,0.21733399778587204
19541.0,2023-07-03,-0.20411501019195735,0.2167559727146054
19571.0,2023-08-02,-0.15834374922464498,0.21814929083244874
19600.0,2023-08-31,-0.12102933009366346,0.22214803159843527
19632.0,2023-10-02,-0.121917401905472,0.2308876819988284
19661.0,2023-10-31,-0.1430727908276072,0.24625652981340762
19691.0,2023-11-30,-0.16900248604174398,0.2742105380855908
