time_days,time_date,ttt_mu,ttt_sigma
19355.0,2022-12-29,0.7039364835308569,0.2915883717176981
19388.0,2023-01-31,0.6224552861371208,0.26412205537466354
19418.0,2023-03-02,0.7322450381805136,0.252308073839186
19447.0,2023-03-31,0.8510454327375405,0.24663888632707215
19479.0,2023-05-02,0.9313330051190013,0.24352074731352397
19509.0,2023-06-01,0.9637628016396204,0.24196086189512933
19541.0,2023-07-03,0.9185446002668656,0.2406011507689997
19571.0,2023-08-02,0.8186479748536768,0.24097019605538947
19600.0,2023-08-31,0.6774732717238664,0.24408764029534202
19632.0,2023-10-02,0.6843777465891382,0.2561537587419296
19661.0,2023-10-31,0.8394668063218306,0.27755995354034024
19691.0,2023-11-30,0.9180980027043883,0.30764316826477667
