time_days,time_date,ttt_mu,ttt_sigma
19355.0,2022-12-29,0.3703048905201593,0.28736540949653594
19388.0,2023-01-31,0.28863974117945873,0.2605097218379809
19418.0,2023-03-02,0.3998261430713906,0.2474900612883283
19447.0,2023-03-31,0.4619249057023437,0.24065864449335436
19479.0,2023-05-02,0.48491106195696326,0.2364917106174274
19509.0,2023-06-01,0.4654229834986282,0.23411466057535646
19541.0,2023-07-03,0.3636046320108167,0.23252181941093938
19571.0,2023-08-02,0.1651191878174224,0.23334172789933802
19600.0,2023-08-31,0.07534372474655307,0.23867345975649415
19632.0,2023-10-02,0.11599510799423131,0.2504733047136067
19661.0,2023-10-31,0.2834650619637451,0.2693127188388469
19691.0,2023-11-30,0.3677344050772507,0.2984018235466392
