time_days,time_date,ttt_mu,ttt_sigma
19355.0,2022-12-29,-0.39615164370649136,0.27208647365986127
19388.0,2023-01-31,-0.3829878491859702,0.2459820451647275
19418.0,2023-03-02,-0.36577357653619036,0.23205177667070945
19447.0,2023-03-31,-0.3248832729330802,0.2252366954838107
19479.0,2023-05-02,-0.2839285219916762,0.21990949499928705
19509.0,2023-06-01,-0.24639271780530836,0.21733397173913677
19541.0,2023-07-03,-0.2040726910867389,0.21675595593109828
19571.0,2023-08-02,-0.15829924832687736,0.2181492847839372
19600.0,2023-08-31,-0.12098091675701392,0.2221480336741001
19632.0,2023-10-02,-0.12186144613173251,0.23088769147966653
19661.0,2023-10-31,-0.14300196725226239,0.2462565675630291
19691.0,2023-11-30,-0.16892764301267452,0.27421060980922163
