fecha_rebalanceo,hmm_garch,llm_sentiment,mamba_ssm,momentum_126d,neural_ff,olps_rmr,ppo_rl,stgnn_alpha,tft_trend,wavelet_lstm,xgboost_trend
2018-07-03,-9.222210037223474e+16,-1.1389106146007675,-1.1389106146007675,0.7847579368562005,-9.222210037223474e+16,0.7847579368562005,0.7847579368562005,-9.222210037223474e+16,-9.222210037223474e+16,-9.222210037223474e+16,-9.222210037223474e+16
2018-10-02,-9.222210037223474e+16,-4.61133553951278e+16,1.406559601760532,2.3683457929403016,-4.6108744977106936e+16,2.3683457929403016,2.3683457929403016,-9.222210037223474e+16,-9.222210037223474e+16,-9.222210037223474e+16,-9.222210037223474e+16
2019-01-03,-9.222210037223474e+16,-3.053814043401463e+16,-3.114887271063068e+16,0.5888077709747059,-3.053508722758942e+16,-3.1148872710630676e+16,-3.1148872710630676e+16,-9.222210037223474e+16,-6.1073227661604056e+16,-9.222210037223474e+16,-9.222210037223474e+16
2019-04-04,-9.222210037223474e+16,-2.2658452644841944e+16,-4.6907460476979496e+16,1.7696716282473917,-2.2656187250413292e+16,-2.3111599043794496e+16,-4.6907460476979496e+16,-9.222210037223474e+16,-6.911050132844023e+16,-9.222210037223474e+16,-9.222210037223474e+16
2019-07-05,-9.222210037223474e+16,-3.736238022415861e+16,-5.648578486148802e+16,1.6498029022137761,-3.736059367459658e+16,-1.8226414185261844e+16,-3.699245566748378e+16,-9.222210037223474e+16,-7.399568618697288e+16,-9.222210037223474e+16,-9.222210037223474e+16
2019-10-03,-9.222210037223474e+16,-4.730569282743981e+16,-6.296298444350781e+16,1.2149678008148066,-4.7304230089605736e+16,-1.492288049256777e+16,-3.028758094934849e+16,-9.222210037223474e+16,-7.729921987966696e+16,-9.222210037223474e+16,-9.222210037223474e+16
2020-01-03,-9.222210037223474e+16,-5.451681972747289e+16,-6.7660403704707816e+16,1.7989511761403634,-3.970974903623307e+16,-1.2527079251370672e+16,-2.5425046261930324e+16,-9.222210037223474e+16,-7.969502112086406e+16,-9.222210037223474e+16,-9.222210037223474e+16
2020-04-03,-9.222210037223474e+16,-4.657385803676811e+16,-7.123898031031571e+16,1.307243702308722,-4.736066479096295e+16,-1.0701915731424598e+16,-2.1720681820782636e+16,-9.222210037223474e+16,-8.152018464081014e+16,-9.222210037223474e+16,-9.222210037223474e+16
2020-07-06,-9.222210037223474e+16,-4.029935168745346e+16,-7.406586057333802e+16,1.583052230707866,-4.098015854851122e+16,-9260136135805904.0,-1.8794436030958836e+16,-9.222210037223474e+16,-8.296196423642883e+16,-9.222210037223474e+16,-7.979778813518747e+16
2020-10-02,-9.222210037223474e+16,-3.5204498998067056e+16,-6.470207100519783e+16,1.5332381208496522,-3.579923473088647e+16,-8089421781354308.0,-1.6418346120121808e+16,-9.222210037223474e+16,-8.413267859088043e+16,-9.222210037223474e+16,-8.136853401481422e+16
