fecha_rebalanceo,hmm_garch,llm_sentiment,mamba_ssm,momentum_126d,neural_ff,olps_rmr,ppo_rl,stgnn_alpha,tft_trend,wavelet_lstm,xgboost_trend
2018-01-02,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
2018-04-04,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
2018-07-03,4.055163951451991e-12,0.12201966309902455,0.05985878687074596,0.36190987816881875,0.0,0.26677979121975615,0.18943188063759947,0.0,0.0,0.0,0.0
2018-10-02,0.0,0.061078138048120484,0.09784758183131333,0.3564512220380893,0.006771653787200199,0.2786910565167113,0.19916034777856542,0.0,0.0,0.0,0.0
2019-01-03,0.0,0.11995020195528762,0.06951717886192312,0.3260964522594859,0.11575455819422441,0.2179703335609208,0.15071127516815824,0.0,0.0,0.0,0.0
2019-04-04,0.0,0.14884844834180297,0.07528785819747981,0.3146590580746464,0.1699311857203883,0.18796291491439493,0.10331053475128765,0.0,0.0,0.0,0.0
2019-07-05,0.0,0.1278502725367914,0.05952947342149583,0.3067165907452334,0.15864652317455358,0.21148412206377787,0.13577301805814798,0.0,0.0,0.0,0.0
2019-10-03,0.0,0.11372422369376582,0.0474464163388528,0.3033495300527859,0.15240408698838773,0.22687975120205414,0.15619599172415352,0.0,0.0,0.0,0.0
2020-01-03,0.0,0.10387573720754616,0.03858145679662086,0.3016522660266836,0.14858882253068753,0.23735533030441777,0.16994638713404406,0.0,0.0,0.0,0.0
2020-04-03,0.0,0.11469294130598462,0.03316673967152822,0.30071975315314337,0.12913447337203612,0.24409306080911683,0.1781930316881909,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.11716380242148061,0.007870695566898865,0.31980974153581126,0.10744586305815564,0.26033062394259276,0.18737927347506084,0.0,0.0,0.0,0.0
2020-10-02,0.0,0.12101309598725853,0.0,0.32479725568576207,0.09292329795739387,0.2679629559058065,0.19330339446377895,0.0,0.0,0.0,0.0
