,hmm_garch,llm_sentiment,mamba_ssm,momentum_126d,neural_ff,olps_rmr,ppo_rl,stgnn_alpha,tft_trend,wavelet_lstm,xgboost_trend
2018-01-02,0.008303361477520088,0.008303361477520088,0.008303361477520088,0.008303361477520088,0.008303361477520088,0.008303361477520088,0.008303361477520088,0.008303361477520088,0.008303361477520088,0.008303361477520088,0.008303361477520088
2018-01-03,0.0,0.006398818768781567,0.0,0.006398818768781567,-0.006398818768781567,0.0,0.006398818768781567,-0.006398818768781567,-0.006398818768781567,0.0,0.0
2018-01-04,0.0,0.004028636080503967,0.0,0.004028636080503967,-0.004028636080503967,0.0,0.004028636080503967,-0.004028636080503967,-0.004028636080503967,0.0,0.0
2018-01-05,0.0,0.007033767443369587,0.0,0.007033767443369587,-0.007033767443369587,0.0,0.007033767443369587,-0.007033767443369587,-0.007033767443369587,0.0,0.0
2018-01-08,0.0,0.0016623439316436617,0.0,0.0016623439316436617,-0.0016623439316436617,0.0,0.0016623439316436617,-0.0016623439316436617,-0.0016623439316436617,0.0,0.0
2018-01-09,0.0,0.0013029315960912946,0.0,0.0013029315960912946,-0.0013029315960912946,0.0,0.0013029315960912946,-0.0013029315960912946,-0.0013029315960912946,0.0,0.0
2018-01-10,0.0,-0.0011122268282528491,0.0,-0.0011122268282528491,0.0011122268282528491,0.0,-0.0011122268282528491,0.0011122268282528491,0.0011122268282528491,0.0,0.0
2018-01-11,0.0,0.007033646478779465,0.0,0.007033646478779465,-0.007033646478779465,0.0,0.007033646478779465,-0.007033646478779465,-0.007033646478779465,0.0,0.0
2018-01-12,0.0,0.006749602987881076,0.0,0.006749602987881076,-0.006749602987881076,0.0,0.006749602987881076,-0.006749602987881076,-0.006749602987881076,0.0,0.0
2018-01-16,0.0,-0.003524487622672101,0.0,-0.003524487622672101,0.003524487622672101,0.0,-0.003524487622672101,0.003524487622672101,0.003524487622672101,0.0,0.0
2018-01-17,0.0,0.009415051560751175,0.0,0.009415051560751175,-0.009415051560751175,0.0,0.009415051560751175,-0.009415051560751175,-0.009415051560751175,0.0,0.0
2018-01-18,0.0,-0.0016163897301626484,0.0,-0.0016163897301626484,0.0016163897301626484,0.0,-0.0016163897301626484,0.0016163897301626484,0.0016163897301626484,0.0,0.0
2018-01-19,0.0,0.004385235112838837,0.0,0.004385235112838837,-0.004385235112838837,0.0,0.004385235112838837,-0.004385235112838837,-0.004385235112838837,0.0,0.0
2018-01-22,0.0,0.008066726499347698,0.0,0.008066726499347698,-0.008066726499347698,0.0,0.008066726499347698,-0.008066726499347698,-0.008066726499347698,0.0,0.0
2018-01-23,0.0,0.0021743654797181655,0.0,0.0021743654797181655,-0.0021743654797181655,0.0,0.0021743654797181655,-0.0021743654797181655,-0.0021743654797181655,0.0,0.0
