,meta_portfolio
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.0
2018-02-02,0.0
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,0.0
2018-02-15,0.0
2018-02-16,0.0
2018-02-20,0.0
2018-02-21,0.0
2018-02-22,0.0
2018-02-23,0.0
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,0.0
2018-03-01,0.0
2018-03-02,0.0
2018-03-05,0.0
2018-03-06,0.0
2018-03-07,0.0
2018-03-08,0.0
2018-03-09,0.0
2018-03-12,0.0
2018-03-13,0.0
2018-03-14,0.0
2018-03-15,0.0
2018-03-16,0.0
2018-03-19,0.0
2018-03-20,0.0
2018-03-21,0.0
2018-03-22,0.0
2018-03-23,0.0
2018-03-26,0.0
2018-03-27,0.0
2018-03-28,0.0
2018-03-29,0.0
2018-04-02,0.0
2018-04-03,0.0
2018-04-04,0.0
2018-04-05,0.0006238966961412583
2018-04-06,-0.001992749889076586
2018-04-09,0.00030332262693823854
2018-04-10,0.0015206321621146818
2018-04-11,-0.000502305862084006
2018-04-12,0.0007500681876352434
2018-04-13,-0.0002624204989316996
2018-04-16,0.0007371853078804422
2018-04-17,0.000969227700156364
2018-04-18,7.557870915288832e-05
2018-04-19,-0.0005205567900139082
2018-04-20,-0.00077604839096482
2018-04-23,5.111972011533956e-06
2018-04-24,-0.0012164146946951238
2018-04-25,0.00016700541482033755
2018-04-26,0.0009485640703970268
2018-04-27,0.00010123862650815693
2018-04-30,-0.0007443173604031461
2018-05-01,0.00023173140700565915
2018-05-02,-0.000655078506214339
2018-05-03,-0.00020487947630077786
2018-05-04,0.0011646526330725373
2018-05-07,0.00031435868195614253
2018-05-08,-2.4149211166184113e-05
2018-05-09,0.0008802018413698926
2018-05-10,0.0008518767021368022
2018-05-11,0.00015523595951427716
2018-05-14,8.031723248248423e-05
2018-05-15,-0.0006220127527206788
2018-05-16,0.00036914197079706103
2018-05-17,-7.78065746164236e-05
2018-05-18,-0.00023929044894697364
2018-05-21,0.0006715229997486477
2018-05-22,-0.0002850692536052443
2018-05-23,0.00029530999019603243
2018-05-24,-0.00018392849968163939
2018-05-25,-0.0002142927669458147
2018-05-29,-0.0010512897536957277
2018-05-30,0.0011541628384831204
2018-05-31,-0.000625414543171544
2018-06-01,0.0009862936700437293
2018-06-04,0.0004072362214543021
2018-06-05,6.387208840640358e-05
2018-06-06,0.0007788538605207996
2018-06-07,-6.492622435527728e-05
2018-06-08,0.0002841731263023965
2018-06-11,9.715524258514418e-05
2018-06-12,0.0001584895646117806
2018-06-13,-0.00036601162441705286
2018-06-14,0.00022468634349383863
2018-06-15,-9.246388322992072e-05
2018-06-18,-0.00019328434204319238
2018-06-19,-0.0003657638447908522
2018-06-20,0.00015565038994263587
2018-06-21,-0.0005768645923254514
2018-06-22,0.00016926677332143844
2018-06-25,-0.0012476971794014705
2018-06-26,0.00020041609272526307
2018-06-27,-0.0007822141026201278
2018-06-28,0.0005616990781334354
2018-06-29,6.89457572727365e-05
2018-07-02,0.0002789052192866202
2018-07-03,-0.0004497591478918746
2018-07-05,0.007568896122739005
2018-07-06,0.007446398472330617
2018-07-09,0.007746408122087479
2018-07-10,0.003049460289596709
2018-07-11,-0.006228570622530692
2018-07-12,0.007681487435026572
2018-07-13,0.0009475492992036638
2018-07-16,-0.0009026829518043399
2018-07-17,0.0034888292625181415
2018-07-18,0.0018968876049652202
2018-07-19,-0.0034706502316694857
2018-07-20,-0.0008327184400861339
2018-07-23,0.0016137713097069003
2018-07-24,0.004197545978569909
