fecha_rebalanceo,momentum_126d,olps_rmr,xgboost_trend,hmm_garch
2005-05-04,-0.591978776303302,0.1962639520220981,-0.04944999279880521,-9.222210037223474e+16
2005-06-03,-0.7095175647471617,0.3674918557737332,-0.0494499927988049,-9.222210037223474e+16
2005-07-05,-0.2765806468586515,-0.320242412265897,-0.049449992798804694,-9.222210037223474e+16
2005-08-03,0.42564703257110154,-0.6681754152836727,-2.3795861433184996e+16,-9.222210037223474e+16
2005-09-01,0.5064202374118222,-0.45274140692063014,-3.825937067622617e+16,-9.222210037223474e+16
2005-10-03,0.5280686698709317,-0.1761005445674012,-4.804010395094003e+16,-9.222210037223474e+16
2005-11-01,0.22661111043512627,0.06119698549089725,-5.513332445333714e+16,-9.222210037223474e+16
2005-12-01,0.3546460276320695,-0.16065403765464492,-6.05370645788911e+16,-9.222210037223474e+16
2006-01-03,0.45365751542394694,-0.3342944951440435,-6.4805724437532104e+16,-9.222210037223474e+16
2006-02-02,0.6848071478676462,-0.7225937932218377,-6.827184463091566e+16,-9.222210037223474e+16
2006-03-06,0.6380519977077764,-0.7221604422625928,-7.1147016665937976e+16,-9.222210037223474e+16
2006-04-04,0.6936743201110036,-0.4616031602550201,-7.357237032264357e+16,-9.222210037223474e+16
2006-05-04,0.7635067888004698,-0.23885711909726254,-7.564576440043013e+16,-9.222210037223474e+16
2006-06-05,0.6254984174340652,-0.04638932171384125,-7.743731853618592e+16,-9.222210037223474e+16
2006-07-05,0.4608812749750322,-0.09318347614384201,-7.899872207734706e+16,-9.222210037223474e+16
2006-08-03,0.33282307187166693,-0.15091370947062785,-8.036904048643547e+16,-9.222210037223474e+16
2006-09-01,0.4085065707864941,-0.2791306869308334,-8.157846091182525e+16,-9.222210037223474e+16
2006-10-03,0.5538485267801265,-0.47923461904868214,-8.265077865889586e+16,-9.222210037223474e+16
2006-11-01,0.8298575739910379,-0.8162319908030491,-8.360508922329038e+16,-9.222210037223474e+16
2006-12-01,1.0499627686765607,-1.0383720182466463,-8.445696497071387e+16,-9.222210037223474e+16
