fecha_rebalanceo,momentum_126d,olps_rmr,xgboost_trend,hmm_garch
2005-01-03,0.25,0.25,0.25,0.25
2005-02-02,0.25,0.25,0.25,0.25
2005-03-04,0.25,0.25,0.25,0.25
2005-04-05,0.25,0.25,0.25,0.25
2005-05-04,0.0,0.7619993358830972,0.23800066411690274,0.0
2005-06-03,0.0,0.7497504575177498,0.25024954248225023,0.0
2005-07-05,0.0,0.49974652663170555,0.5002534733682944,0.0
2005-08-03,0.23612795998242594,0.44314254414050475,0.3207294958770693,0.0
2005-09-01,0.3809278497126983,0.4136832336901649,0.20538891659713684,0.0
2005-10-03,0.47844165896734014,0.396614698945169,0.12494364208749086,0.0
2005-11-01,0.5494239804903618,0.38642603692953365,0.06414998258010456,0.0
2005-12-01,0.60230179893353,0.37942941561996174,0.018268785446508375,0.0
2006-01-03,0.6330741808645065,0.3669258191354934,0.0,0.0
2006-02-02,0.6476265641967575,0.35237343580324265,0.0,0.0
2006-03-06,0.6582796008288002,0.3417203991711998,0.0,0.0
2006-04-04,0.6671764206991179,0.332823579300882,0.0,0.0
2006-05-04,0.6745204488286158,0.32547955117138416,0.0,0.0
2006-06-05,0.6799325479968873,0.32006745200311265,0.0,0.0
2006-07-05,0.685028594574587,0.31497140542541296,0.0,0.0
2006-08-03,0.6893049760724834,0.31069502392751663,0.0,0.0
2006-09-01,0.6929954404849024,0.30700455951509764,0.0,0.0
2006-10-03,0.6964285724072689,0.30357142759273126,0.0,0.0
2006-11-01,0.6983445562833399,0.3016554437166601,0.0,0.0
2006-12-01,0.7008468666790105,0.29915313332098953,0.0,0.0
2007-01-04,0.7033393221997846,0.29666067780021554,0.0,0.0
2007-02-05,0.7053974819273291,0.294602518072671,0.0,0.0
2007-03-07,0.7070982558773121,0.2929017441226879,0.0,0.0
2007-04-05,0.7085674881922563,0.2914325118077436,0.0,0.0
2007-05-07,0.7100998174757981,0.2899001825242019,0.0,0.0
2007-06-06,0.7113451204067753,0.2886548795932246,0.0,0.0
2007-07-06,0.7116359055007195,0.28836409449928047,0.0,0.0
2007-08-06,0.7127226866523947,0.28727731334760537,0.0,0.0
2007-09-05,0.7136472629427604,0.28635273705723957,0.0,0.0
2007-10-04,0.7144361674465447,0.2855638325534553,0.0,0.0
2007-11-02,0.7151720697492623,0.2848279302507377,0.0,0.0
2007-12-04,0.7160405320044174,0.28395946799558247,0.0,0.0
2008-01-04,0.7167605047952629,0.2832394952047372,0.0,0.0
2008-02-05,0.7174768548329794,0.2825231451670206,0.0,0.0
2008-03-06,0.7180085004763388,0.28199149952366126,0.0,0.0
2008-04-07,0.7186223363351908,0.2813776636648092,0.0,0.0
2008-05-06,0.7182413276850513,0.2817586723149486,0.0,0.0
2008-06-05,0.7186662308142394,0.2813337691857606,0.0,0.0
2008-07-07,0.7191781368311808,0.2808218631688191,0.0,0.0
2008-08-05,0.7194733474611956,0.2805266525388045,0.0,0.0
2008-09-04,0.7198188448800433,0.28018115511995667,0.0,0.0
2008-10-03,0.7200893583774339,0.279910641622566,0.0,0.0
2008-11-03,0.7204630569843733,0.2795369430156266,0.0,0.0
2008-12-03,0.7207501761941433,0.2792498238058566,0.0,0.0
2009-01-05,0.7211816440632004,0.27881835593679966,0.0,0.0
2009-02-04,0.7214032890482566,0.2785967109517435,0.0,0.0
2009-03-06,0.7216172536087436,0.2783827463912564,0.0,0.0
2009-04-06,0.7218751779566657,0.2781248220433343,0.0,0.0
2009-05-06,0.7220615790470084,0.27793842095299154,0.0,0.0
2009-06-05,0.7222415304040051,0.2777584695959949,0.0,0.0
2009-07-07,0.722516560282249,0.27748343971775097,0.0,0.0
2009-08-05,0.7226112514255173,0.2773887485744827,0.0,0.0
2009-09-03,0.7227132993970378,0.2772867006029622,0.0,0.0
2009-10-05,0.7222821134875498,0.2777178865124502,0.0,0.0
2009-11-03,0.7223591485564982,0.27764085144350176,0.0,0.0
2009-12-03,0.7224923582097826,0.27750764179021736,0.0,0.0
2010-01-05,0.7227665300391908,0.2772334699608093,0.0,0.0
2010-02-04,0.7228594183301319,0.27714058166986816,0.0,0.0
2010-03-08,0.7230481354806836,0.27695186451931647,0.0,0.0
2010-04-07,0.7231212245758416,0.2768787754241584,0.0,0.0
2010-05-06,0.7231487134601156,0.27685128653988444,0.0,0.0
2010-06-07,0.7233277722991328,0.27667222770086725,0.0,0.0
2010-07-07,0.7233927525128836,0.2766072474871164,0.0,0.0
2010-08-05,0.7234123298266903,0.27658767017330965,0.0,0.0
2010-09-03,0.7234411970247443,0.27655880297525565,0.0,0.0
2010-10-05,0.7236156343644553,0.2763843656355447,0.0,0.0
2010-11-03,0.7236311518580807,0.27636884814191925,0.0,0.0
2010-12-03,0.7237005971104571,0.27629940288954286,0.0,0.0
2011-01-04,0.7238580401414592,0.27614195985854084,0.0,0.0
2011-02-03,0.7239061180523463,0.2760938819476537,0.0,0.0
2011-03-07,0.7240435549865755,0.2759564450134245,0.0,0.0
2011-04-05,0.7240318254737594,0.27596817452624056,0.0,0.0
2011-05-05,0.7240747416188248,0.27592525838117526,0.0,0.0
2011-06-06,0.7242051637735798,0.27579483622642015,0.0,0.0
2011-07-06,0.7242324966626976,0.2757675033373025,0.0,0.0
2011-08-04,0.7242189411492141,0.2757810588507859,0.0,0.0
2011-09-02,0.7242147530222879,0.2757852469777121,0.0,0.0
2011-10-04,0.724346492054101,0.2756535079458991,0.0,0.0
2011-11-02,0.7243333396095875,0.27566666039041254,0.0,0.0
2011-12-02,0.7243709440288121,0.275629055971188,0.0,0.0
2012-01-04,0.723928573205393,0.27607142679460694,0.0,0.0
2012-02-03,0.7239417829212194,0.2760582170787807,0.0,0.0
2012-03-06,0.7240402228956353,0.2759597771043646,0.0,0.0
2012-04-04,0.7240027721269393,0.27599722787306075,0.0,0.0
2012-05-04,0.7240172682310473,0.2759827317689527,0.0,0.0
2012-06-05,0.7241148689366473,0.27588513106335255,0.0,0.0
2012-07-05,0.7241186577032637,0.27588134229673633,0.0,0.0
2012-08-03,0.724085386419337,0.27591461358066316,0.0,0.0
2012-09-04,0.72418173879861,0.2758182612013899,0.0,0.0
2012-10-03,0.7241456140263092,0.27585438597369094,0.0,0.0
2012-11-05,0.7242772604595056,0.27572273954049437,0.0,0.0
2012-12-05,0.7242716252511312,0.27572837474886874,0.0,0.0
2013-01-07,0.7243866553442246,0.27561334465577536,0.0,0.0
2013-02-06,0.724368734801269,0.2756312651987311,0.0,0.0
2013-03-08,0.7243564015128343,0.2756435984871656,0.0,0.0
2013-04-09,0.7244252157115704,0.27557478428842963,0.0,0.0
2013-05-08,0.7243704666477307,0.2756295333522692,0.0,0.0
2013-06-07,0.7243650624802959,0.27563493751970425,0.0,0.0
2013-07-09,0.7244383987049634,0.27556160129503654,0.0,0.0
2013-08-07,0.7243887670513598,0.2756112329486402,0.0,0.0
2013-09-06,0.724386801369918,0.27561319863008205,0.0,0.0
2013-10-07,0.7244245067781312,0.2755754932218688,0.0,0.0
