fecha_rebalanceo,momentum_126d,olps_rmr,xgboost_trend,hmm_garch
2005-05-04,-0.591978776303302,0.1962639520220981,-0.04944999279880521,-9.222210037223474e+16
2005-06-03,-0.8270446016508494,0.5387026401419194,-0.0494499927988046,-9.222210037223474e+16
2005-07-05,0.5722736662637061,-1.6686748872663875,-0.04944999279880428,-9.222210037223474e+16
2005-08-03,2.444939299724099,-1.668674887266388,-9.222210037223474e+16,-9.222210037223474e+16
2005-09-01,0.8077815838359108,0.35103359437899234,-9.222210037223474e+16,-9.222210037223474e+16
2005-10-03,0.6258600049958536,1.0735547979490128,-9.222210037223474e+16,-9.222210037223474e+16
2005-11-01,-1.3496393201265493,1.301969765001394,-9.222210037223474e+16,-9.222210037223474e+16
2005-12-01,1.1053836352750805,-1.4614859514461664,-9.222210037223474e+16,-9.222210037223474e+16
2006-01-03,1.0895798566386787,-1.4495372686731374,-9.222210037223474e+16,-9.222210037223474e+16
2006-02-02,2.282008774662438,-3.4056708287182618,-9.222210037223474e+16,-9.222210037223474e+16
2006-03-06,0.2953355649806187,-0.7189839687754268,-9.222210037223474e+16,-9.222210037223474e+16
2006-04-04,1.1213815514599166,1.5419491705407018,-9.222210037223474e+16,-9.222210037223474e+16
2006-05-04,1.3218022306264028,1.541949170540702,-9.222210037223474e+16,-9.222210037223474e+16
2006-06-05,-0.513414229121228,1.5419491705407014,-9.222210037223474e+16,-9.222210037223474e+16
2006-07-05,-0.9332456699020294,-0.4894787257095875,-9.222210037223474e+16,-9.222210037223474e+16
2006-08-03,-0.7748622224255783,-0.6502720398449275,-9.222210037223474e+16,-9.222210037223474e+16
2006-09-01,1.0745676514831453,-1.4075185098420169,-9.222210037223474e+16,-9.222210037223474e+16
2006-10-03,1.8511455481726158,-2.2653275151480234,-9.222210037223474e+16,-9.222210037223474e+16
2006-11-01,3.3220997494037383,-3.859172326913392,-9.222210037223474e+16,-9.222210037223474e+16
2006-12-01,3.0562960214784383,-3.063253459482913,-9.222210037223474e+16,-9.222210037223474e+16
2007-01-04,3.102590741968289,-2.738909883221582,-9.222210037223474e+16,-9.222210037223474e+16
2007-02-05,2.831595594109847,-9.222210037223474e+16,-9.222210037223474e+16,-9.222210037223474e+16
2007-03-07,-0.26537546335906814,1.4954187818092273,-9.222210037223474e+16,-9.222210037223474e+16
2007-04-05,0.48169035448493086,2.514024957479986,-9.222210037223474e+16,-9.222210037223474e+16
2007-05-07,1.283509198425911,0.8227118047751973,-9.222210037223474e+16,-9.222210037223474e+16
2007-06-06,3.3448544935401388,-0.7217069104802314,-9.222210037223474e+16,-9.222210037223474e+16
2007-07-06,2.077871319585664,-3.098204100519883,-9.222210037223474e+16,-9.222210037223474e+16
2007-08-06,-0.7806141422647678,0.8836862993934845,-9.222210037223474e+16,-9.222210037223474e+16
2007-09-05,-0.6345328417187147,0.9130353009950857,0.004878493020704075,-9.222210037223474e+16
2007-10-04,0.15932457802115055,-0.15295878904397373,0.004878493020703808,-9.222210037223474e+16
2007-11-02,0.6035925507077737,-0.5963541581048492,0.004878493020703808,-9.222210037223474e+16
2007-12-04,-0.14537458151869484,-1.0063162633904932,-9.222210037223474e+16,-9.222210037223474e+16
2008-01-04,-1.7459271155127243,1.365564296719114,-9.222210037223474e+16,-9.222210037223474e+16
2008-02-05,-2.0728594959739075,-0.49555681662073375,-1.5568761069300312,-9.222210037223474e+16
2008-03-06,-2.1939508101369785,0.006760699911999812,-1.5568761069300314,-9.222210037223474e+16
