,momentum_126d,olps_rmr,xgboost_trend,hmm_garch
2005-01-03,-0.00811942003912347,-0.00811942003912347,-0.00811942003912347,-0.00811942003912347
2005-01-04,-0.0116713594265474,0.0,0.0,0.0
2005-01-05,-0.003627842613197485,0.0,0.0,0.0
2005-01-06,0.003505858083953761,0.0,0.0,0.0
2005-01-07,-0.0014311705807971142,0.0,0.0,0.0
2005-01-10,0.0034227727381810347,0.0,0.0,0.0
2005-01-11,-0.006099567120878002,0.0,0.0,0.0
2005-01-12,0.003981403880320977,0.0,0.0,0.0
2005-01-13,-0.008630125807352784,0.0,0.0,0.0
2005-01-14,0.00600455955884871,0.0,0.0,0.0
2005-01-18,0.009674771847279606,0.0,0.0,0.0
2005-01-19,-0.009490104994474113,0.0,0.0,0.0
2005-01-20,-0.007782996095930472,0.0,0.0,0.0
2005-01-21,-0.006414815973357024,0.0,0.0,0.0
2005-01-24,-0.0035277857419173664,0.0,0.0,0.0
2005-01-25,0.004004325825724964,0.0,0.0,0.0
2005-01-26,0.0048441146034394755,0.0,0.0,0.0
2005-01-27,0.0004089215813589675,0.0,0.0,0.0
2005-01-28,-0.0027159876922616677,0.0,0.0,0.0
2005-01-31,0.008460280617075266,0.0,0.0,0.0
2005-02-01,0.006890900906523889,0.0,0.0,0.0
2005-02-02,0.003177968167360712,0.0,0.0,0.0
2005-02-03,-0.002765634073250145,0.002765634073250145,0.0,0.0
2005-02-04,0.01104304976651127,-0.01104304976651127,0.0,0.0
2005-02-07,-0.0010889658294861437,0.0010889658294861437,0.0,0.0
2005-02-08,0.00048270656986804106,-0.00048270656986804106,0.0,0.0
2005-02-09,-0.00857527919407397,0.00857527919407397,0.0,0.0
2005-02-10,0.004211461146802931,-0.004211461146802931,0.0,0.0
2005-02-11,0.00692562217096504,-0.00692562217096504,0.0,0.0
2005-02-14,0.0006968935420927913,-0.0006968935420927913,0.0,0.0
2005-02-15,0.0032997665448568636,-0.0032997665448568636,0.0,0.0
2005-02-16,0.00018177594289214838,-0.00018177594289214838,0.0,0.0
2005-02-17,-0.007923365410653749,0.007923365410653749,0.0,0.0
2005-02-18,0.0006995343079845284,-0.0006995343079845284,0.0,0.0
2005-02-22,-0.014505723363565037,0.014505723363565037,0.0,0.0
2005-02-23,0.005607362566527829,-0.005607362566527829,0.0,0.0
